date_time,total_http,StoriesOfTheDay_http,BrowseCategories_http,BrowseStoriesByCategory_http,OlderStories_http,ViewStory_http,SubmitStory_http,StoreStory_http,ViewComment_http,PostComment_http,StoreComment_http,ModerateComment_http,StoreModeratorLog_http,ReviewStories_http,AcceptStory_http,RejectStory_http,Search_http,RegisterUser_http,Author_http,jpg_http,html_http,http_total_longReq,http_adjustLoad
1523214087.650000,145.680015,1.320009,0.140000,0.300000,0.360003,2.680015,0.180001,24.860001,0.460003,0.019999,97.619991,0.000000,5.000000,0.000000,5.139999,2.000000,0.499996,5.000000,0.099998,0.000000,0.000000,10.240002,135.440013
1523214087.700000,148.439997,1.179992,0.359997,0.479999,0.600002,5.460005,0.160003,21.439999,2.540004,0.079999,97.519997,0.200001,5.000000,0.000000,4.680000,2.000000,1.360000,5.139999,0.240002,0.000000,0.000000,11.000000,137.439997
1523214087.750000,146.599998,2.640002,0.500002,0.699997,0.599999,5.460007,0.800001,19.080002,1.799992,0.060000,97.979996,0.279999,4.480000,0.000000,4.040002,1.419998,0.979996,5.660004,0.120003,0.000000,0.000000,11.480000,135.119999
1523214087.800000,141.000045,1.860003,0.200004,0.480004,0.680003,5.980017,0.799999,14.500004,0.680000,0.160003,99.719997,0.180001,4.000000,0.180001,4.000000,1.000000,0.500004,6.000000,0.080004,0.000000,0.000000,12.000000,129.000045
1523214087.850000,157.419985,8.039998,0.000000,1.259990,0.620004,12.220019,0.199997,13.540001,1.400000,0.139997,102.359997,0.000000,4.000000,0.000000,4.000000,1.000000,2.639983,6.000000,0.000000,0.000000,0.000000,12.439999,144.979986
1523214087.900000,151.919970,3.599999,0.159998,1.159996,1.299995,8.139996,0.600001,15.079994,1.639999,0.339993,103.280006,0.000000,3.239998,0.000000,4.000000,0.559998,2.819995,6.000000,0.000000,0.000000,0.000000,14.160000,137.759970
1523214087.950000,162.240009,4.659991,0.000000,0.060001,1.120003,11.839998,0.020000,18.060001,4.360004,0.120001,107.300007,0.000000,3.000000,0.000000,4.000000,0.000000,1.700002,6.000000,0.000000,0.000000,0.000000,17.980000,144.260010
1523214088.000000,178.940041,5.680002,0.460006,0.600004,1.620006,17.660020,0.060000,18.219997,8.560002,0.040002,111.200001,0.000000,3.000000,0.200000,4.000000,0.000000,1.640000,6.000000,0.000000,0.000000,0.000000,19.000000,159.940041
1523214088.050000,172.840000,2.900002,0.260000,1.160008,0.260004,19.440001,0.139999,17.279999,6.599998,0.219989,110.420006,0.000000,3.000000,0.199997,4.000000,0.000000,0.959995,6.000000,0.000000,0.000000,0.000000,20.120003,152.719997
1523214088.100000,180.819991,2.199996,0.539997,1.080000,0.439995,21.199986,0.140001,17.339996,7.880013,0.220000,115.080002,0.000000,3.000000,0.000000,4.000000,0.000000,1.500004,6.200001,0.000000,0.000000,0.000000,23.000000,157.819991
1523214088.150000,184.179999,3.619996,0.379997,1.119994,1.039992,16.599998,0.560005,19.580006,5.260002,0.159998,118.540005,0.000000,2.940002,0.420002,4.000000,0.000000,1.299998,8.420002,0.240002,0.000000,0.000000,26.000000,158.179999
1523214088.200000,178.019988,4.859993,0.279999,0.499996,0.559999,8.379998,0.100002,20.520000,3.419995,0.079999,122.260002,0.000000,2.000000,0.680000,4.000000,0.000000,1.180002,9.000000,0.200001,0.000000,0.000000,26.000000,152.019988
1523214088.250000,167.939997,2.819999,0.600005,0.640000,0.779996,4.199996,0.280000,18.980003,1.019988,0.000000,124.560005,0.000000,1.939999,0.019997,4.000000,0.000000,0.800010,7.299999,0.000000,0.000000,0.000000,26.000000,141.939997
1523214088.300000,170.919980,2.960002,0.179994,1.580000,0.480003,4.320000,0.279998,20.560001,1.700001,0.199995,124.359993,0.000000,2.040001,0.279997,3.259998,0.079999,1.479999,7.160000,0.000000,0.000000,0.000000,26.000000,144.919980
1523214088.350000,177.180011,2.780002,0.199997,0.320004,0.760003,6.140005,0.139998,22.840004,2.939993,0.139999,123.700005,0.000000,3.680000,0.000000,3.299999,0.000000,1.280003,8.959999,0.000000,0.000000,0.000000,26.000000,151.180011
1523214088.400000,183.020001,0.980000,0.459996,0.519998,1.860006,10.100005,0.120001,25.000000,1.580002,0.219993,124.520000,0.000000,4.339996,0.000000,4.000000,0.000000,1.380002,7.940002,0.000000,0.000000,0.000000,26.000000,157.020001
1523214088.450000,183.459986,2.819999,0.320000,0.539999,0.520008,8.099995,0.340003,26.039997,2.319998,0.059999,124.639999,0.000000,5.000000,0.000000,4.000000,0.000000,1.519988,7.240002,0.000000,0.000000,0.000000,26.000000,157.459986
1523214088.500000,214.120003,9.260007,2.859997,1.580006,1.259995,15.660004,1.200001,28.000000,5.059998,0.100002,127.219997,0.260002,5.439999,0.360001,4.000000,0.000000,2.779998,9.079998,0.000000,0.000000,0.000000,26.000000,188.120003
1523214088.550000,216.200002,4.499997,1.100000,1.719998,1.739997,19.379997,1.160007,27.580002,5.380005,0.179998,130.680004,0.320002,6.000000,0.160004,3.639999,0.000000,1.659990,11.000000,0.000000,0.000000,0.000000,26.000000,190.200002
1523214088.600000,202.980005,3.079990,1.179999,0.659996,1.240005,10.040002,0.660000,26.180004,4.239995,0.160002,133.280003,0.000000,6.000000,0.180001,3.259998,0.000000,1.580011,11.239998,0.000000,0.000000,0.000000,26.000000,176.980005
