date_time,total_http_start,total_http_end,select_http_start,select_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,insert_http_start,insert_http_end,UPDATE_http_start,UPDATE_http_end,update_http_start,update_http_end,DELETE_http_start,DELETE_http_end,delete_http_start,delete_http_end,commit;_http_start,commit;_http_end,SHOW_http_start,SHOW_http_end,SET_http_start,SET_http_end,/bin_http_start,/bin_http_end,#_http_start,#_http_end
1523212659.400000,100,101,0,0,94,94,5,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.450000,120,110,0,0,109,100,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.500000,99,110,0,0,84,95,6,7,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.550000,98,98,0,0,86,85,4,4,0,0,7,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.600000,123,122,0,0,115,115,5,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.650000,120,123,0,0,103,106,14,14,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.700000,108,109,0,0,45,45,27,28,0,0,34,34,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.750000,93,92,0,0,33,33,40,39,0,0,19,19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.800000,131,115,0,0,122,106,8,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.850000,106,122,0,0,95,110,10,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.900000,112,112,0,0,84,84,8,8,0,0,19,19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212659.950000,118,115,0,0,90,88,15,15,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.000000,99,64,0,0,98,63,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.050000,74,51,0,0,74,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.100000,91,63,0,0,91,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.150000,53,53,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.200000,51,51,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.250000,126,136,0,0,125,135,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.300000,107,132,0,0,106,131,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.350000,115,132,0,0,112,129,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.400000,97,112,0,0,94,108,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.450000,100,100,0,0,96,97,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.500000,100,100,0,0,97,97,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.550000,109,105,0,0,104,100,2,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.600000,104,102,0,0,101,99,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.650000,91,104,0,0,90,103,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.700000,114,123,0,0,98,107,11,10,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.750000,118,115,0,0,110,106,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.800000,118,118,0,0,109,109,4,4,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.850000,102,102,0,0,97,98,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.900000,116,114,0,0,109,107,4,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212660.950000,135,119,0,0,126,110,5,6,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.000000,108,126,0,0,104,122,3,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.050000,118,122,0,0,108,112,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.100000,108,107,0,0,94,92,12,13,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.150000,126,126,0,0,118,119,6,5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.200000,116,117,0,0,108,109,7,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523212661.250000,125,115,0,0,113,103,11,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
