date_time,total_http,SELECT_http,INSERT_http,UPDATE_http,DELETE_http,total_http_out_rs,SELECT_http_out_rs,INSERT_http_out_rs,UPDATE_http_out_rs,DELETE_http_out_rs
1523213226.600000,0.046767,0.046767,0.000000,0.000000,0.000000,0.047378,0.047378,0.000000,0.000000,0.000000
1523213226.650000,0.022018,0.022018,0.000000,0.000000,0.000000,0.054415,0.054415,0.000000,0.000000,0.000000
1523213226.700000,0.031014,0.031014,0.000000,0.000000,0.000000,0.061100,0.061100,0.000000,0.000000,0.000000
1523213226.750000,0.045500,0.045500,0.000000,0.000000,0.000000,0.037718,0.037718,0.000000,0.000000,0.000000
1523213226.800000,0.051667,0.051667,0.000000,0.000000,0.000000,0.024127,0.024127,0.000000,0.000000,0.000000
1523213226.850000,0.036860,0.036860,0.000000,0.000000,0.000000,0.017625,0.017625,0.000000,0.000000,0.000000
1523213226.900000,0.067154,0.067154,0.000000,0.000000,0.000000,0.022492,0.022492,0.000000,0.000000,0.000000
1523213226.950000,0.040827,0.040827,0.000000,0.000000,0.000000,0.029241,0.029241,0.000000,0.000000,0.000000
1523213227.000000,0.034337,0.034337,0.000000,0.000000,0.000000,0.042976,0.042976,0.000000,0.000000,0.000000
1523213227.050000,0.033379,0.033379,0.000000,0.000000,0.000000,0.055692,0.055692,0.000000,0.000000,0.000000
1523213227.100000,0.027659,0.027659,0.000000,0.000000,0.000000,0.042573,0.042573,0.000000,0.000000,0.000000
1523213227.150000,0.031377,0.031377,0.000000,0.000000,0.000000,0.062342,0.062342,0.000000,0.000000,0.000000
1523213227.200000,0.040857,0.040857,0.000000,0.000000,0.000000,0.057975,0.057975,0.000000,0.000000,0.000000
1523213227.250000,0.047722,0.047722,0.000000,0.000000,0.000000,0.025364,0.025364,0.000000,0.000000,0.000000
1523213227.300000,0.035528,0.035528,0.000000,0.000000,0.000000,0.033078,0.033078,0.000000,0.000000,0.000000
1523213227.350000,0.036048,0.036048,0.000000,0.000000,0.000000,0.039415,0.039415,0.000000,0.000000,0.000000
1523213227.400000,0.040403,0.040403,0.000000,0.000000,0.000000,0.046227,0.046227,0.000000,0.000000,0.000000
1523213227.450000,0.064934,0.064934,0.000000,0.000000,0.000000,0.055632,0.055632,0.000000,0.000000,0.000000
1523213227.500000,0.054411,0.054411,0.000000,0.000000,0.000000,0.024524,0.024524,0.000000,0.000000,0.000000
1523213227.550000,0.041277,0.041277,0.000000,0.000000,0.000000,0.035676,0.035676,0.000000,0.000000,0.000000
1523213227.600000,0.032942,0.032942,0.000000,0.000000,0.000000,0.037595,0.037595,0.000000,0.000000,0.000000
1523213227.650000,0.030460,0.030460,0.000000,0.000000,0.000000,0.079284,0.079284,0.000000,0.000000,0.000000
1523213227.700000,0.038405,0.038405,0.000000,0.000000,0.000000,0.049013,0.049013,0.000000,0.000000,0.000000
1523213227.750000,0.042437,0.042437,0.000000,0.000000,0.000000,0.031641,0.031641,0.000000,0.000000,0.000000
1523213227.800000,0.016224,0.016224,0.000000,0.000000,0.000000,0.031095,0.031095,0.000000,0.000000,0.000000
1523213227.850000,0.018109,0.018109,0.000000,0.000000,0.000000,0.041333,0.041333,0.000000,0.000000,0.000000
1523213227.900000,0.018146,0.018146,0.000000,0.000000,0.000000,0.028414,0.028414,0.000000,0.000000,0.000000
1523213227.950000,0.015313,0.015313,0.000000,0.000000,0.000000,0.012072,0.012072,0.000000,0.000000,0.000000
1523213228.000000,0.023716,0.023716,0.000000,0.000000,0.000000,0.012412,0.012412,0.000000,0.000000,0.000000
1523213228.050000,0.045159,0.045159,0.000000,0.000000,0.000000,0.016128,0.016128,0.000000,0.000000,0.000000
1523213228.100000,0.073694,0.073694,0.000000,0.000000,0.000000,0.028475,0.028475,0.000000,0.000000,0.000000
1523213228.150000,0.022407,0.022407,0.000000,0.000000,0.000000,0.011127,0.011127,0.000000,0.000000,0.000000
1523213228.200000,0.030795,0.030795,0.000000,0.000000,0.000000,0.033101,0.033101,0.000000,0.000000,0.000000
1523213228.250000,0.032329,0.032329,0.000000,0.000000,0.000000,0.033250,0.033250,0.000000,0.000000,0.000000
1523213228.300000,0.065702,0.065702,0.000000,0.000000,0.000000,0.031836,0.031836,0.000000,0.000000,0.000000
1523213228.350000,0.040311,0.040311,0.000000,0.000000,0.000000,0.038878,0.038878,0.000000,0.000000,0.000000
1523213228.400000,0.047909,0.047909,0.000000,0.000000,0.000000,0.075878,0.075878,0.000000,0.000000,0.000000
1523213228.450000,0.045222,0.045222,0.000000,0.000000,0.000000,0.045718,0.045718,0.000000,0.000000,0.000000
1523213228.500000,0.050134,0.050134,0.000000,0.000000,0.000000,0.046196,0.046196,0.000000,0.000000,0.000000
1523213228.550000,0.015705,0.015705,0.000000,0.000000,0.000000,0.075571,0.075571,0.000000,0.000000,0.000000
1523213228.600000,0.033420,0.033420,0.000000,0.000000,0.000000,0.026295,0.026295,0.000000,0.000000,0.000000
1523213228.650000,0.008462,0.008462,0.000000,0.000000,0.000000,0.018700,0.018700,0.000000,0.000000,0.000000
1523213228.700000,0.066602,0.066602,0.000000,0.000000,0.000000,0.030302,0.030302,0.000000,0.000000,0.000000
1523213228.750000,0.060811,0.060811,0.000000,0.000000,0.000000,0.031946,0.031946,0.000000,0.000000,0.000000
1523213228.800000,0.041809,0.041809,0.000000,0.000000,0.000000,0.038943,0.038943,0.000000,0.000000,0.000000
1523213228.850000,0.049781,0.049781,0.000000,0.000000,0.000000,0.050197,0.050197,0.000000,0.000000,0.000000
1523213228.900000,0.027740,0.027740,0.000000,0.000000,0.000000,0.040987,0.040987,0.000000,0.000000,0.000000
1523213228.950000,0.032935,0.032935,0.000000,0.000000,0.000000,0.034895,0.034895,0.000000,0.000000,0.000000
1523213229.000000,0.040197,0.040197,0.000000,0.000000,0.000000,0.043845,0.043845,0.000000,0.000000,0.000000
1523213229.050000,0.023136,0.023136,0.000000,0.000000,0.000000,0.028157,0.028157,0.000000,0.000000,0.000000
1523213229.100000,0.042188,0.042188,0.000000,0.000000,0.000000,0.071851,0.071851,0.000000,0.000000,0.000000
