date_time,total_http_start,total_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,UPDATE_http_start,UPDATE_http_end,DELETE_http_start,DELETE_http_end
1523223502.250000,0,0,0,0,0,0,0,0,0,0
1523223502.300000,0,0,0,0,0,0,0,0,0,0
1523223502.350000,0,0,0,0,0,0,0,0,0,0
1523223502.400000,0,0,0,0,0,0,0,0,0,0
1523223502.450000,0,0,0,0,0,0,0,0,0,0
1523223502.500000,0,0,0,0,0,0,0,0,0,0
1523223502.550000,0,0,0,0,0,0,0,0,0,0
1523223502.600000,0,0,0,0,0,0,0,0,0,0
1523223502.650000,0,0,0,0,0,0,0,0,0,0
1523223502.700000,0,0,0,0,0,0,0,0,0,0
1523223502.750000,0,0,0,0,0,0,0,0,0,0
1523223502.800000,0,0,0,0,0,0,0,0,0,0
1523223502.850000,0,0,0,0,0,0,0,0,0,0
1523223502.900000,0,0,0,0,0,0,0,0,0,0
1523223502.950000,0,0,0,0,0,0,0,0,0,0
1523223503.000000,0,0,0,0,0,0,0,0,0,0
1523223503.050000,0,0,0,0,0,0,0,0,0,0
1523223503.100000,0,0,0,0,0,0,0,0,0,0
1523223503.150000,0,0,0,0,0,0,0,0,0,0
1523223503.200000,0,0,0,0,0,0,0,0,0,0
1523223503.250000,0,0,0,0,0,0,0,0,0,0
1523223503.300000,0,0,0,0,0,0,0,0,0,0
1523223503.350000,0,0,0,0,0,0,0,0,0,0
1523223503.400000,0,0,0,0,0,0,0,0,0,0
1523223503.450000,0,0,0,0,0,0,0,0,0,0
1523223503.500000,0,0,0,0,0,0,0,0,0,0
1523223503.550000,0,0,0,0,0,0,0,0,0,0
1523223503.600000,0,0,0,0,0,0,0,0,0,0
1523223503.650000,0,0,0,0,0,0,0,0,0,0
1523223503.700000,0,0,0,0,0,0,0,0,0,0
1523223503.750000,0,0,0,0,0,0,0,0,0,0
1523223503.800000,0,0,0,0,0,0,0,0,0,0
1523223503.850000,0,0,0,0,0,0,0,0,0,0
1523223503.900000,0,0,0,0,0,0,0,0,0,0
1523223503.950000,0,0,0,0,0,0,0,0,0,0
1523223504.000000,0,0,0,0,0,0,0,0,0,0
1523223504.050000,0,0,0,0,0,0,0,0,0,0
1523223504.100000,0,0,0,0,0,0,0,0,0,0
1523223504.150000,0,0,0,0,0,0,0,0,0,0
1523223504.200000,0,0,0,0,0,0,0,0,0,0
1523223504.250000,0,0,0,0,0,0,0,0,0,0
1523223504.300000,0,0,0,0,0,0,0,0,0,0
1523223504.350000,0,0,0,0,0,0,0,0,0,0
1523223504.400000,0,0,0,0,0,0,0,0,0,0
1523223504.450000,0,0,0,0,0,0,0,0,0,0
1523223504.500000,0,0,0,0,0,0,0,0,0,0
1523223504.550000,0,0,0,0,0,0,0,0,0,0
1523223504.600000,0,0,0,0,0,0,0,0,0,0
1523223504.650000,0,0,0,0,0,0,0,0,0,0
1523223504.700000,0,0,0,0,0,0,0,0,0,0
1523223504.750000,0,0,0,0,0,0,0,0,0,0
1523223504.800000,0,0,0,0,0,0,0,0,0,0
1523223504.850000,0,0,0,0,0,0,0,0,0,0
1523223504.900000,0,0,0,0,0,0,0,0,0,0
1523223504.950000,0,0,0,0,0,0,0,0,0,0
1523223505.000000,0,0,0,0,0,0,0,0,0,0
1523223505.050000,0,0,0,0,0,0,0,0,0,0
1523223505.100000,0,0,0,0,0,0,0,0,0,0
1523223505.150000,0,0,0,0,0,0,0,0,0,0
1523223505.200000,0,0,0,0,0,0,0,0,0,0
1523223505.250000,0,0,0,0,0,0,0,0,0,0
1523223505.300000,0,0,0,0,0,0,0,0,0,0
1523223505.350000,0,0,0,0,0,0,0,0,0,0
1523223505.400000,0,0,0,0,0,0,0,0,0,0
1523223505.450000,0,0,0,0,0,0,0,0,0,0
1523223505.500000,0,0,0,0,0,0,0,0,0,0
1523223505.550000,0,0,0,0,0,0,0,0,0,0
1523223505.600000,0,0,0,0,0,0,0,0,0,0
1523223505.650000,0,0,0,0,0,0,0,0,0,0
1523223505.700000,0,0,0,0,0,0,0,0,0,0
1523223505.750000,0,0,0,0,0,0,0,0,0,0
1523223505.800000,0,0,0,0,0,0,0,0,0,0
1523223505.850000,0,0,0,0,0,0,0,0,0,0
1523223505.900000,0,0,0,0,0,0,0,0,0,0
